sweep 000, 0.08156197518110275, 2.2479958534240723, 1.2305452823638916
sweep 001, 3.4162676334381104, -7.044870853424072, 1.5445045232772827
sweep 002, 9.17396354675293, -11.626152992248535, 1.5517351627349854
sweep 003, 7.839277744293213, -20.322919845581055, 1.5266679525375366
sweep 004, 4.695985794067383, -27.986234664916992, 1.5216548442840576
sweep 005, 5.550442218780518, -36.17123794555664, 1.5325778722763062
sweep 006, 9.735404968261719, -42.22378158569336, 1.5779114961624146
sweep 007, 9.278096199035645, -47.27973937988281, 1.5984008312225342
sweep 008, 9.639904022216797, -55.48237991333008, 1.6270688772201538
sweep 009, 8.157939910888672, -61.50893783569336, 1.6470668315887451
sweep 010, -2.974597692489624, -62.673194885253906, 1.6231589317321777
sweep 011, -10.021899223327637, -64.16023254394531, 1.5947158336639404
sweep 012, -9.524168014526367, -77.5174560546875, 1.6595308780670166
sweep 013, -10.447718620300293, -91.7217788696289, 1.7088191509246826
sweep 014, -12.02900505065918, -102.94953155517578, 1.720499038696289
sweep 015, -10.981669425964355, -114.30892181396484, 1.7242062091827393
sweep 016, -10.549806594848633, -129.8092498779297, 1.7201480865478516
sweep 017, -12.52248764038086, -141.96841430664062, 1.6961164474487305
sweep 018, -11.387444496154785, -154.12391662597656, 1.6651768684387207
sweep 019, -8.63011360168457, -164.98313903808594, 1.6258691549301147
sweep 020, 3.9169375896453857, -165.0022735595703, 1.6614359617233276
sweep 021, 9.829914093017578, -165.4098663330078, 1.6587767601013184
sweep 022, 11.973182678222656, -178.06321716308594, 1.6147979497909546
sweep 023, 21.351037979125977, -184.5417022705078, 1.579877495765686
sweep 024, 22.012786865234375, -196.73876953125, 1.5504474639892578
sweep 025, 19.289274215698242, -203.36175537109375, 1.5261256694793701
sweep 026, 19.048866271972656, -209.43458557128906, 1.5123757123947144
sweep 027, 19.91087532043457, -215.636474609375, 1.493140697479248
sweep 028, 25.146284103393555, -163.17686462402344, 1.6161928176879883
sweep 029, 17.50556182861328, -157.21633911132812, 1.647082805633545
sweep 030, 14.99597454071045, -147.31419372558594, 1.6749099493026733
sweep 031, 12.346429824829102, -137.47145080566406, 1.6644866466522217
sweep 032, 12.9456205368042, -124.13739013671875, 1.6888070106506348
sweep 033, 13.982760429382324, -116.56608581542969, 1.6951382160186768
sweep 034, 28.047630310058594, -113.57752227783203, 1.67001473903656
sweep 035, 12.644835472106934, -105.72736358642578, 1.6716200113296509
sweep 036, 13.093779563903809, -94.61318969726562, 1.6785205602645874
sweep 037, 16.09480857849121, -83.16044616699219, 1.6923272609710693
sweep 038, 16.410375595092773, -73.76595306396484, 1.6778751611709595
sweep 039, 22.1157169342041, -66.57412719726562, 1.6533628702163696
sweep 040, 30.383527755737305, -60.871097564697266, 1.6511107683181763
sweep 041, 38.5485954284668, -63.18864059448242, 1.6705684661865234
sweep 042, 44.37223815917969, -66.66124725341797, 1.660079002380371
sweep 043, 52.895931243896484, -71.64185333251953, 1.6581611633300781
sweep 044, 62.896671295166016, -74.3649673461914, 1.6484010219573975
sweep 045, 72.0718994140625, -75.53225708007812, 1.6285475492477417
sweep 046, 84.29205322265625, -75.9207992553711, 1.6388721466064453
sweep 047, 91.99974060058594, -71.3122787475586, 1.660956621170044
sweep 048, 104.33712005615234, -67.6858139038086, 1.6702888011932373
sweep 049, 98.46639251708984, -74.26543426513672, 1.6551088094711304
sweep 050, 104.19926452636719, -63.9667854309082, 1.6732218265533447
sweep 051, 104.18250274658203, -54.532798767089844, 1.6543657779693604
sweep 052, 104.15573120117188, -48.81062316894531, 1.6676781177520752
sweep 053, 104.04875946044922, -42.81686019897461, 1.6319286823272705
sweep 054, 103.94991302490234, -31.595413208007812, 1.60740327835083
sweep 055, 104.1812744140625, -23.459630966186523, 1.5980463027954102
sweep 056, 104.27977752685547, -13.599906921386719, 1.5953965187072754
sweep 057, 103.9764404296875, -2.9264934062957764, 1.603042483329773
sweep 058, 103.92826080322266, 6.7815728187561035, 1.5851010084152222
sweep 059, 100.946533203125, -13.555855751037598, 1.5422874689102173
sweep 060, 94.01747131347656, -13.76904582977295, 1.5739927291870117
sweep 061, 81.94336700439453, -7.694989204406738, 1.189979076385498
sweep 062, 108.27114868164062, -48.5430908203125, 1.686285376548767
sweep 063, 112.07720184326172, -70.10831451416016, 1.6742682456970215
sweep 064, 119.45387268066406, -66.95008850097656, 1.6797362565994263
sweep 065, 126.84561920166016, -63.293853759765625, 1.6706162691116333
sweep 066, 125.89417266845703, -54.48008728027344, 1.6460118293762207
sweep 067, 136.33837890625, -50.887508392333984, 1.6273449659347534
sweep 068, 141.6980743408203, -58.02336120605469, 1.6390535831451416
sweep 069, 133.69778442382812, -68.3298568725586, 1.6605192422866821
sweep 070, 130.54122924804688, -82.85552978515625, 1.625040888786316
sweep 071, 141.40626525878906, -65.34524536132812, 1.6568522453308105
sweep 072, 153.02169799804688, -64.69282531738281, 1.6327030658721924
sweep 073, 163.11627197265625, -72.15975189208984, 1.6225581169128418
sweep 074, 174.42242431640625, -70.83625793457031, 1.632623314857483
sweep 075, 180.35887145996094, -69.15739440917969, 1.631587028503418
sweep 076, 180.03277587890625, -79.1348648071289, 1.6172239780426025
sweep 077, 193.0225372314453, -77.71077728271484, 1.5910511016845703
sweep 078, 196.99557495117188, -68.56171417236328, 1.5861304998397827
sweep 079, 203.76206970214844, -68.7091293334961, 1.5749366283416748
sweep 080, 210.355224609375, -70.86377716064453, 1.579601764678955
sweep 081, 216.18975830078125, -64.0356674194336, 1.5594677925109863
